,isbn,title,series_title,series_release_number,authors,publisher,language,description,num_pages,format,genres,publication_date,rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,url
10,9782253147695,Christine,,,Stephen King,LGF,French,"Christine est belle, racée, séduisante.
Elle aime les sensations fortes, les virées nocturnes et le rock n'roll des années héroïques. Depuis qu'elle connaît Arnie, elle est amoureuse. Signe particulier : Christine est une Plymouth « Fury », sortie en 1958 des ateliers automobiles de Detroit.
Une seule rivale en travers de sa route : Leigh, la petite amie d'Arnie…
Ce roman légendaire de Stephen King, rythmé par la musique de Chuck Berry et de Janis Joplin, a déjà pris place parmi les classiques de l'épouvante.",411,Paperback,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Paranormal', 'Mystery']","April 29, 1983",3.84,239840.0,5206.0,2552.0,114000.0,10.99,https://www.goodreads.com/book/show/10629.Christine
11,9780425203934,Proof,,,Dick Francis,G.P. Putnam's Sons,English,"Wine merchant Tony Beach has expertly catered his latest society soiree, but the fun's over when a team of hit men crash the party…literally. The event leaves Tony with a bitter aftertaste of suspicion—and sets off a mystery that's an intoxicating blend of deception, intrigue, and murder.",368,Mass Market Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'British Literature']","September 24, 1984",4.08,7554.0,389.0,396.0,1407.0,8.99,https://www.goodreads.com/book/show/8531.Proof
12,9780786915743,Dragons of Autumn Twilight  ,Dragonlance: Chronicles,1,Margaret Weis,Wizards of the Coast,English,"Once merely creatures of legend, the dragons have returned to Krynn. But with their arrival comes the departure of the old gods—and all healing magic. As war threatens to engulf the land, lifelong friends reunite for an adventure that will change their lives and shape their world forever . . . 
 
When Tanis, Sturm, Caramon, Raistlin, Flint, and Tasslehoff see a woman use a blue crystal staff to heal a villager, they wonder if it's a sign the gods have not abandoned them after all. Fueled by this glimmer of hope, the Companions band together to uncover the truth behind the gods' absence—though they aren't the only ones with an interest in the staff. The Seekers, a new religious order, wants the artifact for their own ends, believing it will help them replace the gods and overtake the continent of Ansalon. Now, the Companions must assume the unlikely roles of heroes if they hope to prevent the staff from falling into the hands of darkness.
Lifelong friends, they went their separate ways. Now they are together again, though each holds secrets from the others in his heart. They speak of a world shadowed with rumors of war. They speak of tales of strange monsters, creatures of myth, creatures of legend. They do not speak of their secrets. Not then. Not until a chance encounter with a beautiful, sorrowful woman, who bears a magical crystal staff, draws the companions deeper into the shadows, forever changing their lives and shaping the fate of the world.
No one expected them to be heroes.
Least of all, them.",444,Mass Market Paperback,"['Fantasy', 'Dragonlance', 'Fiction', 'Dragons', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy']","November 12, 1984",4.01,116639.0,2918.0,4499.0,52800.0,7.99,https://www.goodreads.com/book/show/259836.Dragons_of_Autumn_Twilight
13,9780330293877,The Bone People,,,Keri Hulme,Picador,English,"“This book is just amazingly, wondrously great.” —Alice Walker
In a tower on the New Zealand sea lives Kerewin Holmes: part Maori, part European, asexual and aromantic, an artist estranged from her art, a woman in exile from her family. 
One night her solitude is disrupted by a visitor—a speechless, mercurial boy named Simon, who tries to steal from her and then repays her with his most precious possession. 
As Kerewin succumbs to Simon’s feral charm, she also falls under the spell of his Maori foster father Joe, who rescued the boy from a shipwreck and now treats him with an unsettling mixture of tenderness and brutality. 
Out of this unorthodox trinity Keri Hulme has created what is at once a mystery, a love story, and an ambitious exploration of the zone where indigenous and European New Zealand meet, clash, and sometimes merge.
Winner of both a Booker Prize and Pegasus Prize for Literature, The Bone People is a work of unfettered wordplay and mesmerizing emotional complexity.",450,Paperback,"['Fiction', 'Magical Realism', 'Literary Fiction', 'Historical Fiction', 'Contemporary', 'Fantasy', 'Literature']","January 1, 1984",4.04,22457.0,2149.0,647.0,41700.0,,https://www.goodreads.com/book/show/818926.The_Bone_People
14,9780425165584,Books of Blood: Volumes One to Three ,Books of Blood,1-3,Clive Barker,Berkley Books,English,"""Everybody is a book of blood; wherever we're opened, we're red."" For those who only know Clive Barker through his long multigenre novels, this one-volume edition of the 
 is a welcome chance to acquire the 16 remarkable horror short stories with which he kicked off his career. For those who already know these tales, the poignant introduction is a window on the creator's mind. Reflecting back after 14 years, Barker writes:
 
 I look at these pieces and I don't think the man who wrote them is alive in me anymore.... We are all our own graveyards I believe; we squat amongst the tombs of the people we were. If we're healthy, every day is a celebration, a Day of the Dead, in which we give thanks for the lives that we lived; and if we are neurotic we brood and mourn and wish that the past was still present.
 Reading these stories over, I feel a little of both. Some of the simple energies that made these words flow through my pen--that made the phrases felicitous and the ideas sing--have gone. I lost their maker a long time ago. 
 These enthusiastic tales are not ashamed of visceral horror, of blood splashing freely across the page: ""The Midnight Meat Train,"" a grisly subway tale that surprises you with one twist after another; ""The Yattering and Jack,"" about a hilarious demon who possesses a Christmas turkey; ""In the Hills, the Cities,"" an unusual example of an original horror premise; ""Dread,"" a harrowing non-supernatural tale about being forced to realize your worst nightmare; ""Jacqueline Ess: Her Will and Testament,"" about a woman who kills men with her mind. Some of the tales are more successful than others, but all are distinguished by strikingly beautiful images of evil and destruction. No horror library is complete without them. 
--Fiona Webster",507,Paperback,"['Horror', 'Short Stories', 'Fiction', 'Fantasy', 'Anthologies', 'Thriller', 'Supernatural']","January 1, 1984",4.19,27930.0,944.0,1412.0,25800.0,29.99,https://www.goodreads.com/book/show/32626.Books_of_Blood
15,,The Black Company ,The Chronicles of the Black Company,1,Glen Cook,Tor Fantasy,English,"Some feel the Lady, newly risen from centuries in thrall, stands between humankind and evil. Some feel she is evil itself. The hard-bitten men of the Black Company take their pay and do what they must, burying their doubts with their dead. Until the prophesy: The White Rose has been reborn, somewhere, to embody good once more. There must be a way for the Black Company to find her... So begins one of the greatest fantasy epics of our age—Glen Cook's Chronicles of the Black Company.",319,Mass Market Paperback,"['Fantasy', 'Fiction', 'Dark Fantasy', 'Epic Fantasy', 'High Fantasy', 'Military Fiction', 'War']","May 15, 1984",3.93,49233.0,2505.0,1885.0,56200.0,9.99,https://www.goodreads.com/book/show/140671.The_Black_Company
16,9781555971939,Shallows,,,Tim Winton,Graywolf Press,English,"Shallows is set in a small whaling town in Western Australia, where land-based whaling has been a tradition for over 150 years. When Queenie Cookson decides to join an antiwhaling protest group, she defies her husband, her ancestry, and her community. Winner of the prestigious Miles Franklin Award in Australia, this eloquent and moving novel speaks with immediacy and passion of the conflict between the values of a closeknit, traditional society and the evolving mores of the wider world.",240,Paperback,"['Fiction', 'Australia', 'Historical Fiction', 'Contemporary', 'Literature', 'Adult', 'Novels']","January 1, 1984",3.52,1045.0,73.0,40.0,727.0,,https://www.goodreads.com/book/show/343882.Shallows
17,9780674615762,A New History of Korea,,,Ki-Baik Lee,Harvard University Press,English,"The first English-language history of Korea to appear in more than a decade, this translation offers Western readers a distillation of the latest and best scholarship on Korean history and culture from the earliest times to the student revolution of 1960. The most widely read and respected general history, A New History of Korea ( Han’guksa sillon ) was first published in 1961 and has undergone two major revisions and updatings.
Translated twice into Japanese and currently being translated into Chinese as well, Ki-baik Lee’s work presents a new periodization of his country’s history, based on a fresh analysis of the changing composition of the leadership elite. The book is noteworthy, too, for its full and integrated discussion of major currents in Korea’s cultural history. The translation, three years in preparation, has been done by specialists in the field.",518,Paperback,"['History', 'Nonfiction', 'Asia']","January 1, 1984",3.7,82.0,12.0,9.0,258.0,24.49,https://www.goodreads.com/book/show/55958.A_New_History_of_Korea
18,9781591164227,"Maison Ikkoku, Volume 6 ",Maison Ikkoku,6,Rumiko Takahashi,VIZ Media LLC,English,"Follows the tenants of Japan's nuttiest apartment house where Kyoko, the manager, Yusaku, the college student, Mrs. Ichinose, the drunken gossip, Akemi, the boozy bar hostess, and Mr. Yostuya, the mooching peeper, reside.",208,Paperback,"['Manga', 'Romance', 'Comics', 'Seinen', 'Comedy', 'Fiction', 'Graphic Novels']","June 1, 1984",4.17,340.0,6.0,3.0,73.0,12.99,https://www.goodreads.com/book/show/23708.Maison_Ikkoku_Volume_6
19,9780859536592,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",,,Don Wood,Childs Play Intl Ltd,English,"First published in 1984, a picture book in which the Little Mouse will do all he can to save his strawberry from the Big, Hungry Bear, even if it means sharing it with the reader. The Little Mouse and the Big Hungry Bear are known and loved by millions of children around the world. Little Mouse loves strawberries, but so does the bear...How will Little Mouse stop the bear from eating his freshly picked, red, ripe strawberry.",32,Board Book,"['Picture Books', 'Childrens', 'Animals', 'Storytime', 'Fiction', 'Food', 'Humor']","June 1, 1984",4.31,39372.0,1062.0,146.0,9358.0,9.49,https://www.goodreads.com/book/show/682920.The_Little_Mouse_the_Red_Ripe_Strawberry_and_the_Big_Hungry_Bear
20,9780446365321,Sweet Starfire ,Lost Colony,1,Jayne Ann Krentz,Grand Central Publishing,English,PAPERBACK,384,Mass Market Paperback,"['Romance', 'Paranormal Romance', 'Paranormal', 'Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Romance']","January 1, 1985",3.96,3347.0,121.0,308.0,1981.0,4.99,https://www.goodreads.com/book/show/1723927.Sweet_Starfire
21,9780141014081,The Complete Maus,,,Art Spiegelman,Penguin Books,English,"On the occasion of the twenty-fifth anniversary of its first publication, here is the definitive edition of the book acclaimed as “the most affecting and successful narrative ever done about the Holocaust” (Wall Street Journal) and “the first masterpiece in comic book history” (The New Yorker).
The Pulitzer Prize-winning Maus tells the story of Vladek Spiegelman, a Jewish survivor of Hitler’s Europe, and his son, a cartoonist coming to terms with his father’s story. Maus approaches the unspeakable through the diminutive. Its form, the cartoon (the Nazis are cats, the Jews mice), shocks us out of any lingering sense of familiarity and succeeds in “drawing us closer to the bleak heart of the Holocaust” (The New York Times).
Maus is a haunting tale within a tale. Vladek’s harrowing story of survival is woven into the author’s account of his tortured relationship with his aging father. Against the backdrop of guilt brought by survival, they stage a normal life of small arguments and unhappy visits. This astonishing retelling of our century’s grisliest news is a story of survival, not only of Vladek but of the children who survive even the survivors. Maus studies the bloody pawprints of history and tracks its meaning for all of us.",296,Paperback,"['Graphic Novels', 'Comics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical']","January 1, 1980",4.57,216758.0,13804.0,4854.0,148000.0,,https://www.goodreads.com/book/show/15195.The_Complete_Maus
22,9780449212400,Hot Money,,,Dick Francis,Fawcett,English,"Malcolm Pembroke never expected to make a million pounds without making enemies. Nor did he expect his latest wife to be brutally murdered. All the clues suggest the killer comes from close to home - but after five marriages and nine children, that still leaves the field wide open. When he finds his own life in danger, Pembroke entrusts his safety to his estranged son, Ian, an amateur jockey; and through him discovers a compulsive new outlet for his financial expertise. Soon he's playing the international bloodstock market for incredible stakes. Not the safest bet for a man on the run from avaricious relatives. Particularly when one of them got a bomb...",432,Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Horses']","January 1, 1987",4.12,5862.0,280.0,214.0,906.0,4.99,https://www.goodreads.com/book/show/456906.Hot_Money
23,9780380714001,Gallows View ,Inspector Banks,1,Peter Robinson,Avon,English,"A Peeping Tom is frightening the women of Eastvale; two glue-sniffing young thugs are breaking into homes and robbing people, and an old woman may or may not have been murdered.
Investigating these cases is Detective Chief Inspector Alan Banks, a perceptive, curious and compassionate policeman recently moved to the Yorkshire Dales from London to escape the stress of city life.
In addition to all this, Banks has to deal with local feminists plus his attraction to a young psychologist, Jenny Fuller. As the tension mounts, both Jenny and Banks’s wife, Sandra, are drawn deeper into the events. The cases weave together as the story reaches a tense and surprising climax.",336,Mass Market Paperback,"['Mystery', 'Crime', 'Fiction', 'Audiobook', 'Thriller', 'Mystery Thriller', 'British Literature']","August 27, 1987",3.78,16720.0,1054.0,1449.0,8443.0,11.99,https://www.goodreads.com/book/show/102139.Gallows_View
24,9780060298784,Something Under the Bed is Drooling ,Calvin and Hobbes,2,Bill Watterson,Greenwillow Books,English,"Tonino is the only person in the famous Montana household who wasn't born with an instinct for creating spells, but he has other gifts. His ability to communicate with cats just might help defend the city of Caprona against a mysterious enchanter -- but only if Tonino can learn to cooperate with a girl from the hated Petrocchi family of spell-makers.",288,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Magic', 'Adventure']","January 1, 1980",3.93,12700.0,582.0,203.0,4418.0,6.99,https://www.goodreads.com/book/show/70490.Something_Under_the_Bed_is_Drooling
25,9780385313315,"The Last Lion: Winston Spencer Churchill: Alone, 1932-40",,,William Manchester,Bantam,English,"In this powerful biography, the middle volume of William Manchester’s critically acclaimed trilogy, Winston Churchill wages his defining campaign: not against Hitler’s war machine but against his own reluctant countrymen. Manchester contends that even more than his leadership in combat, Churchill’s finest hour was the uphill battle against appeasement. As Parliament received with jeers and scorn his warnings against the growing Nazi threat, Churchill stood alone—only to be vindicated by history as a beacon of hope amid the gathering storm.
 
Praise for 
  
 “Manchester has such control over a huge and moving narrative, such illumination of character . . . that he can claim the considerable achievement of having assembled enough powerful evidence to support Isaiah Berlin’s judgment of Churchill as ‘the largest human being of our time.’”
—
The New Yorker


 


 “Memorable.”
—
San Francisco Chronicle
 
  
 “Stirring . . . As Manchester points out several times, it’s as if the age, having produced a Hitler, then summoned Churchill as the only figure equal to the task of vanquishing him. The years 
Alone 
are the pivotal years of Churchill’s career.”
—
The Boston Sunday Globe
 
 “The best Churchill biography [for] this generation . . . Even readers who know the basic story will find much that is new.”
—
Newsweek
  
 “A triumph . . . equal in stature to the first volume of the series.”
—
Newsday
 
 “Vivid . . . history in the grand manner.”


—The Washington Post


  
 “Compelling reading.”
—
The Times
 (London)",800,Paperback,"['Biography', 'History', 'Nonfiction', 'Politics', 'World War II', 'Biography Memoir', 'War']","October 28, 1988",4.37,11502.0,460.0,456.0,12000.0,16.99,https://www.goodreads.com/book/show/55751.The_Last_Lion
26,9780385413725,From Beirut to Jerusalem,,,Thomas L. Friedman,Anchor,English,"This extraordinary bestseller is still the most incisive, thought-provoking book ever written about the Middle East. Thomas L. Friedman, twice winner of the Pulitzer Prize for international reporting, and now the Foreign Affairs columnist on the op-ed page of the 
, drew on his ten years in the Middle East to write a book that 
The Wall Street Journal
 called ""a sparkling intellectual guidebook... an engrossing journey not to be missed."" Now with a new chapter that brings the ever-changing history of the conflict in the Middle East up to date, this seminal historical work reaffirms both its timeliness and its timelessness. ""If you're only going to read one book on the Middle East, this is it."" -- Seymour Hersh",541,Paperback,"['History', 'Nonfiction', 'Politics', 'Israel', 'War', 'Travel', 'Jewish']","June 1, 1989",4.14,11939.0,937.0,1721.0,13400.0,0.0,https://www.goodreads.com/book/show/3559.From_Beirut_to_Jerusalem
27,9780380731503,Wayside School Is Falling Down ,Wayside School,2,Louis Sachar,Avon Camelot,English,"Louis the yard teacher starts off 30 tales of unusual students. Comic sketches precede every chapter. Todd brings a cute adorable plastic puppy who bites back when Joy steals it. Cafeteria lady Ms. Mush serves Mushroom Surprise that changes Ron. When Paul falls out the window, Leslie offers her pigtails to pull him back. On the 19th floor, invisible Allison finds Miss Zarves' class.",152,Paperback,"['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Young Adult', 'Fantasy', 'Juvenile']","January 1, 1989",4.16,60003.0,1240.0,773.0,9435.0,8.49,https://www.goodreads.com/book/show/10065.Wayside_School_Is_Falling_Down
28,9780425205815,Rules of Prey ,Lucas Davenport,1,John Sandford,G.P. Putnam's Sons,English,"Welcome. You are about to meet Lucas Davenport, the police detective in Minneapolis, Minnesota, who does it his way. 
The ""maddog"" murderer who is terrorizing the Twin Cities is two things: insane and extremely intelligent. He kills for the pleasure of it and thoroughly enjoys placing elaborate obstacles to keep the police befuddled. Each clever move he makes is another point of pride. But when the brilliant Lieutenant Davenport--a dedicated cop and a serial killer's worst nightmare--is brought in to take up the investigation, maddog suddenly has an adversary worthy of his genius.
Librarian's note: the first five books in the Lucas Davenport series are #1, Rules of Prey, 1989; #2, Shadow Prey, 1990; #3, Eyes of Prey, 1991; #4, Silent Prey, 1992; and #5, Winter Prey, 1993.",479,Mass Market Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']","July 24, 1989",4.11,86839.0,2865.0,4799.0,40100.0,9.99,https://www.goodreads.com/book/show/37301.Rules_of_Prey
29,9780552154161,Jingo ,"Discworld, City Watch","21,4",Terry Pratchett,Corgi Books,English,"A weathercock has risen from the sea of Discworld, and suddenly you can tell which way the wind is blowing.
A new land has surfaced, and so have old feuds.
And as two armies march, Commander Vimes of Ankh-Morpork City Watch has got just a few hours to deal with a crime so big that there's no law against it. It's called ""war.""
He's facing unpleasant foes who are out to get him... that's just the people on his side. The enemy might even be worse. And his pocket Dis-organiser says he's got to DIE under ""Things To Do Today.""
But he'd better not, because the world's cleverest inventor and its most devious politician are on their way to the battlefield with a little package that's guaranteed to stop a battle...
Discworld goes to war, with armies of sardines, warriors, fishermen, squid, and at least one very camp follower.",461,Paperback,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'War']","January 1, 1997",4.18,65716.0,2008.0,1533.0,19600.0,6.99,https://www.goodreads.com/book/show/47990.Jingo
30,9780445408647,Curses! ,Gideon Oliver,5,Aaron Elkins,Mysterious Pr,English,"An archaeological dig on the Yucatan Peninsula uncovers an ancient Mayan curse, but anthropology professor Gideon Oliver suspects the spate of murders that follow may have a more corporeal cause",254,Paperback,"['Mystery', 'Fiction', 'Anthropology', 'Cozy Mystery', 'Archaeology', 'Crime', 'Mystery Thriller']","January 1, 1989",4.02,1705.0,90.0,442.0,589.0,0.0,https://www.goodreads.com/book/show/591425.Curses_
31,9780920236161,Morning Glory,,,LaVyrle Spencer,Annick Press,English,"A fearsome dragon leaves Elizabeth only a paper bag to clothe herself. But unswayed, she will chase after the dragon and get back what is hers. What about the Prince?",32,Paperback,"['Picture Books', 'Childrens', 'Fantasy', 'Fiction', 'Dragons', 'Fairy Tales', 'Classics']","May 1, 1980",4.31,51024.0,2324.0,234.0,14100.0,2.37,https://www.goodreads.com/book/show/6510802-morning-glory
32,9780671720148,The Vor Game ,Vorkosigan Saga,6,Lois McMaster Bujold,Baen Books,English,"Hugo Award Winner! Miles Vorkosigan graduates from the Academy, joins a mutiny, is placed under house arrest, goes on a secret mission, reconnects with his loyal Dendarii Mercenaries, rescues his Emperor, and thwarts an interstellar war. Situation normal, if you're Miles.",346,Mass Market Paperback,"['Science Fiction', 'Space Opera', 'Fiction', 'Hugo Awards', 'Science Fiction Fantasy', 'Fantasy', 'Audiobook']","January 1, 1990",4.27,25164.0,1013.0,447.0,4064.0,6.99,https://www.goodreads.com/book/show/68483.The_Vor_Game
33,9780449911945,Rabbit at Rest ,Rabbit Angstrom,4,John Updike,Random House Trade Paperbacks,English,"Winner of the 1991 Pulitzer Prize for Fiction. In John Updike's fourth and final novel about ex-basketball player Harry ""Rabbit"" Angstrom, the hero has acquired heart trouble, a Florida condo, and a second grandchild. His son and daughter-in-law are acting erratically, his wife Janice wants to work, and Rabbit is searching his soul, looking for reasons to live.",608,Paperback,"['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Literary Fiction', 'Animals']","December 18, 1990",4.0,15545.0,587.0,176.0,11500.0,13.99,https://www.goodreads.com/book/show/11666.Rabbit_at_Rest
34,9780345460691,Time Bomb ,Alex Delaware,5,Jonathan Kellerman,Ballantine Books,English,"Edgar Award winner Jonathan Kellerman once more explores the corruption of California and produces a novel of complex characterizations and nonstop suspense.
Psychologist Dr. Alex Delaware was called. Unfortunately, by the time he reached the school, the damage was done. A sniper had opened fire on a crowded playground, but was gunned down before any children were hurt. 
""Though a time bomb is ticking away at the heart of this novel, readers will forget to watch the clock once they begin it."" 'Chicago Sun Times.' 
While the TV news crews feasted on the scene, Alex began his therapy sessions with the traumatized children. But he couldn't escape the image of a slight teenager clutching an oversized rifle. What was behind the name and face? A would-be assassin, or just another victim beneath an indifferent California sky? 
Intrigued by a request from the sniper's father to conduct a ""psychological autopsy"" of his child, Alex begins to uncover a strange pattern of innocence, neglect, and loss. Then suddenly it is more than a pattern, it is a trail of blood. In the dead sniper's past was a dark and vicious plot. And in Alex Delaware's future is the stuff of grown-up nightmares: the face of real human evil.",496,Paperback,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook']","January 1, 1990",3.99,16863.0,369.0,1388.0,4185.0,5.99,https://www.goodreads.com/book/show/185908.Time_Bomb
